Tempo,Memória,Valor,Algoritmo,Arquivo
0.0000006,9096,1799963,sequentialV2,5000000.txt
0.0000004,1016,410473,sequentialV2,500000.txt
0.0000002,568,9262,sequentialV2,10000.txt
0.0000001,120,133,sequentialV2,200.txt
0.0000001,344,4542,sequentialV2,5000.txt
0.0000000,120,3,sequentialV2,100.txt
0.0000007,2128,4008102,sequentialV2,10000000.txt
0.0000003,904,18633,sequentialV2,100000.txt
0.0000000,120,503,sequentialV2,1000.txt
0.0000005,1712,9726043,sequentialV2,100000000.txt
0.0000006,960,26822,sequentialV2,1000000.txt
0.0000002,792,25193,sequentialV2,50000.txt
0.0000001,120,1933,sequentialV2,2000.txt
