Tempo,Memória,Valor,Algoritmo,Arquivo
0.0000000,104,50,binary,100.txt
0.0000500,680,414,binary,1000.txt
0.0000500,872,8266,binary,10000.txt
0.0001000,1192,91629,binary,100000.txt
0.0000500,1320,716297,binary,1000000.txt
0.0001000,1448,7503231,binary,10000000.txt
0.0001000,1640,31723283,binary,100000000.txt
0.0000000,104,98,binary,200.txt
0.0000500,744,1722,binary,2000.txt
0.0000499,808,1807,binary,5000.txt
0.0000500,1064,38783,binary,50000.txt
0.0000500,1256,218446,binary,500000.txt
0.0000500,1448,4014026,binary,5000000.txt
