Tempo,Memória,Valor,Algoritmo,Arquivo
0.0000500,379,97,sequentialV1,100.txt
0.0008501,463,932,sequentialV1,1000.txt
0.0094000,463,7339,sequentialV1,10000.txt
0.0979501,463,4484,sequentialV1,100000.txt
0.9718856,463,348546,sequentialV1,1000000.txt
9.4622488,463,3995756,sequentialV1,10000000.txt
92.7252110,463,81760743,sequentialV1,100000000.txt
0.0001000,379,44,sequentialV1,200.txt
0.0017001,463,1739,sequentialV1,2000.txt
0.0045500,463,1174,sequentialV1,5000.txt
0.0457257,463,37084,sequentialV1,50000.txt
0.4619524,463,496053,sequentialV1,500000.txt
4.6013118,463,4570173,sequentialV1,5000000.txt
