Tempo,Mem�ria,Valor,Algoritmo,Arquivo
0.0000501,379,31,sequentialV1,100.txt
0.0008499,407,292,sequentialV1,1000.txt
0.0092501,463,3560,sequentialV1,10000.txt
0.0935755,463,59477,sequentialV1,100000.txt
0.9246340,463,116391,sequentialV1,1000000.txt
9.2838206,463,5645623,sequentialV1,10000000.txt
92.5701431,463,47776501,sequentialV1,100000000.txt
0.0001000,379,195,sequentialV1,200.txt
0.0017500,463,213,sequentialV1,2000.txt
0.0045998,463,549,sequentialV1,5000.txt
0.0462501,463,15271,sequentialV1,50000.txt
0.4643436,463,132120,sequentialV1,500000.txt
4.6224917,463,4469734,sequentialV1,5000000.txt
