Tempo,Memória,Valor,Algoritmo,Arquivo
0.0000000,104,70,ternary,100.txt
0.0000500,296,593,ternary,1000.txt
0.0001000,296,9265,ternary,10000.txt
0.0000500,296,26522,ternary,100000.txt
0.0001324,296,53869,ternary,1000000.txt
0.0001498,296,2635324,ternary,10000000.txt
0.0001000,296,94731837,ternary,100000000.txt
0.0000000,104,84,ternary,200.txt
0.0000500,296,785,ternary,2000.txt
0.0000499,296,4977,ternary,5000.txt
0.0001000,296,23714,ternary,50000.txt
0.0001000,296,468793,ternary,500000.txt
0.0001000,296,4037955,ternary,5000000.txt
